# x	y	u	v	s2n	mask
  2.5000	  3.5000	 -2.5051	  0.0037	     nan	  0.0000
  5.5000	  3.5000	 -2.5830	  0.0658	     nan	  0.0000
  8.5000	  3.5000	 -2.4038	  0.1051	     nan	  0.0000
 11.5000	  3.5000	 -2.2640	  0.0784	     nan	  0.0000
 14.5000	  3.5000	 -2.2377	  0.0144	     nan	  0.0000
 17.5000	  3.5000	 -2.3565	  0.0510	     nan	  0.0000
 20.5000	  3.5000	 -2.3593	  0.0821	     nan	  0.0000
 23.5000	  3.5000	 -2.2476	  0.0189	     nan	  0.0000
 26.5000	  3.5000	 -2.2503	 -0.0028	     nan	  0.0000
 29.5000	  3.5000	 -2.2660	 -0.0094	     nan	  0.0000
 32.5000	  3.5000	 -2.3096	  0.0003	     nan	  0.0000
 35.5000	  3.5000	 -2.3141	  0.0264	     nan	  0.0000
 38.5000	  3.5000	 -2.1887	  0.0281	     nan	  0.0000
 41.5000	  3.5000	 -2.1130	 -0.0028	     nan	  0.0000
 44.5000	  3.5000	 -2.1459	 -0.0453	     nan	  0.0000
 47.5000	  3.5000	 -2.1808	 -0.0198	     nan	  0.0000
 50.5000	  3.5000	 -2.2061	 -0.0088	     nan	  0.0000
 53.5000	  3.5000	 -2.1549	 -0.1187	     nan	  0.0000
 56.5000	  3.5000	 -2.0101	 -0.1165	     nan	  0.0000
 59.5000	  3.5000	 -2.1087	 -0.0177	     nan	  0.0000
 62.5000	  3.5000	 -2.1933	  0.0143	     nan	  0.0000
 65.5000	  3.5000	 -2.2348	  0.0080	     nan	  0.0000
 68.5000	  3.5000	 -2.2851	 -0.0281	     nan	  0.0000
 71.5000	  3.5000	 -2.3224	 -0.0688	     nan	  0.0000
 74.5000	  3.5000	 -2.3835	  0.0038	     nan	  0.0000
 77.5000	  3.5000	 -2.3683	  0.0881	     nan	  0.0000
 80.5000	  3.5000	 -2.2692	  0.0534	     nan	  0.0000
 83.5000	  3.5000	 -2.2620	  0.0179	     nan	  0.0000
 86.5000	  3.5000	 -2.2256	  0.0103	     nan	  0.0000
 89.5000	  3.5000	 -2.2688	  0.0306	     nan	  0.0000
 92.5000	  3.5000	 -2.2932	  0.0506	     nan	  0.0000
 95.5000	  3.5000	 -2.3786	 -0.0001	     nan	  0.0000
 98.5000	  3.5000	 -2.3581	 -0.0440	     nan	  0.0000
101.5000	  3.5000	 -2.2573	 -0.0338	     nan	  0.0000
104.5000	  3.5000	 -2.2698	  0.0959	     nan	  0.0000
107.5000	  3.5000	 -2.2721	  0.1209	     nan	  0.0000
110.5000	  3.5000	 -2.2322	  0.1018	     nan	  0.0000
113.5000	  3.5000	 -2.2222	  0.0549	     nan	  0.0000
116.5000	  3.5000	 -2.2406	  0.0011	     nan	  0.0000
119.5000	  3.5000	 -2.2209	 -0.0494	     nan	  0.0000
122.5000	  3.5000	 -2.4189	 -0.0890	     nan	  0.0000
125.5000	  3.5000	 -2.5108	 -0.0953	     nan	  0.0000
128.5000	  3.5000	 -2.4790	 -0.0981	     nan	  0.0000
131.5000	  3.5000	 -2.2792	 -0.0723	     nan	  0.0000
134.5000	  3.5000	 -2.2013	 -0.0842	     nan	  0.0000
137.5000	  3.5000	 -2.2503	 -0.1167	     nan	  0.0000
140.5000	  3.5000	 -2.3224	 -0.1344	     nan	  0.0000
143.5000	  3.5000	 -2.3419	 -0.1702	     nan	  0.0000
146.5000	  3.5000	 -2.3137	 -0.1204	     nan	  0.0000
149.5000	  3.5000	 -2.2654	 -0.0501	     nan	  0.0000
152.5000	  3.5000	 -2.3200	 -0.0202	     nan	  0.0000
155.5000	  3.5000	 -2.4380	 -0.0561	     nan	  0.0000
158.5000	  3.5000	 -2.4444	 -0.0788	     nan	  0.0000
161.5000	  3.5000	 -2.4864	 -0.0352	     nan	  0.0000
164.5000	  3.5000	 -2.4690	  0.0371	     nan	  0.0000
167.5000	  3.5000	 -2.4598	  0.0418	     nan	  0.0000
170.5000	  3.5000	 -2.3782	 -0.0236	     nan	  0.0000
173.5000	  3.5000	 -2.3188	 -0.0237	     nan	  0.0000
176.5000	  3.5000	 -2.2523	  0.0149	     nan	  0.0000
179.5000	  3.5000	 -2.3137	  0.0280	     nan	  0.0000
182.5000	  3.5000	 -2.3490	  0.0448	     nan	  0.0000
185.5000	  3.5000	 -2.3827	  0.0611	     nan	  0.0000
188.5000	  3.5000	 -2.4864	  0.0529	     nan	  0.0000
191.5000	  3.5000	 -2.4823	  0.0178	     nan	  0.0000
194.5000	  3.5000	 -2.4205	  0.0314	     nan	  0.0000
197.5000	  3.5000	 -2.3645	  0.0561	     nan	  0.0000
200.5000	  3.5000	 -2.4184	  0.0608	     nan	  0.0000
203.5000	  3.5000	 -2.4202	  0.0621	     nan	  0.0000
206.5000	  3.5000	 -2.4569	  0.0631	     nan	  0.0000
209.5000	  3.5000	 -2.4825	  0.0401	     nan	  0.0000
212.5000	  3.5000	 -2.3926	  0.0337	     nan	  0.0000
215.5000	  3.5000	 -2.3565	  0.0734	     nan	  0.0000
218.5000	  3.5000	 -2.4614	  0.0721	     nan	  0.0000
221.5000	  3.5000	 -2.4856	  0.0288	     nan	  0.0000
224.5000	  3.5000	 -2.4473	 -0.0145	     nan	  0.0000
227.5000	  3.5000	 -2.3800	 -0.0776	     nan	  0.0000
230.5000	  3.5000	 -2.4369	 -0.1091	     nan	  0.0000
233.5000	  3.5000	 -2.4210	 -0.0684	     nan	  0.0000
236.5000	  3.5000	 -2.4990	 -0.0631	     nan	  0.0000
239.5000	  3.5000	 -2.5550	  0.0011	     nan	  0.0000
242.5000	  3.5000	 -2.6148	  0.0978	     nan	  0.0000
245.5000	  3.5000	 -2.5635	  0.1506	     nan	  0.0000
248.5000	  3.5000	 -2.5523	  0.1027	     nan	  0.0000
251.5000	  3.5000	 -2.6280	 -0.0311	     nan	  0.0000
254.5000	  3.5000	 -2.6177	 -0.0285	     nan	  0.0000
257.5000	  3.5000	 -2.5731	 -0.0052	     nan	  0.0000
260.5000	  3.5000	 -2.5583	 -0.0613	     nan	  0.0000
263.5000	  3.5000	 -2.5494	 -0.0829	     nan	  0.0000
266.5000	  3.5000	 -2.5031	 -0.0506	     nan	  0.0000
269.5000	  3.5000	 -2.5425	 -0.0796	     nan	  0.0000
272.5000	  3.5000	 -2.5923	 -0.1001	     nan	  0.0000
275.5000	  3.5000	 -2.5854	 -0.0924	     nan	  0.0000
278.5000	  3.5000	 -2.6078	 -0.0592	     nan	  0.0000
281.5000	  3.5000	 -2.5127	 -0.1114	     nan	  0.0000
284.5000	  3.5000	 -2.4834	 -0.1244	     nan	  0.0000
287.5000	  3.5000	 -2.6139	 -0.0850	     nan	  0.0000
290.5000	  3.5000	 -2.7138	 -0.0315	     nan	  0.0000
293.5000	  3.5000	 -2.6742	  0.0055	     nan	  0.0000
296.5000	  3.5000	 -2.5666	  0.0071	     nan	  0.0000
299.5000	  3.5000	 -2.6062	  0.0006	     nan	  0.0000
302.5000	  3.5000	 -2.5085	 -0.0313	     nan	  0.0000
305.5000	  3.5000	 -2.4342	 -0.1292	     nan	  0.0000
